,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,smirice,cz,50.300086,15.865792,37.4,91,0,3.36
1,sencur,si,46.2455556,14.4197222,41.0,86,75,3.36
2,bogomila,mk,41.5930556,21.4716667,44.6,70,75,10.29
3,song phi nong,th,14.216667,100.05,82.4,83,20,3.36
4,belgrade,rs,44.818611,20.468056,39.2,80,0,8.05
5,hoi an,vn,15.879444,108.335,71.6,88,20,1.12
6,mascote,br,-15.55,-39.283333,80.6,83,75,9.17
7,niedernhausen,de,50.15,8.316667,42.8,93,90,4.7
8,matipo,br,-20.283333,-42.35,77.94,56,92,3.62
9,gradistea,ro,44.866667,23.816667,39.2,98,0,9.17
10,sahy,sk,48.0666667,18.9666667,33.8,69,0,4.97
11,tranbjerg,dk,56.090105,10.11937,33.8,100,88,14.99
12,sento se,br,-9.666667,-41.3,82.84,66,20,11.56
13,fort madison,us,40.6297222,-91.315,44.6,81,90,12.75
14,fort carson,us,38.7375,-104.7883333,46.4,65,75,11.41
15,south sioux city,us,42.4738889,-96.4133333,53.6,50,1,6.93
16,maunatlala,bw,-22.5666667,27.5666667,65.83,85,0,6.64
17,lucsuhin,ph,13.881856,120.641306,76.81,100,0,11.45
18,murud,in,18.325833,72.965,66.55,97,32,2.51
19,alcochete,pt,38.755335,-8.960861,64.4,72,0,10.29
20,baku,az,40.395278,49.882222,42.8,87,0,5.82
21,montargis,fr,48.001158,2.753601,51.8,71,90,13.87
22,izvor,mk,42.2038889,21.5783333,44.6,70,75,10.29
23,himatangi,nz,-40.4,175.316667,67.09,90,100,20.07
24,nea erithraia,gr,38.1,23.8166667,57.2,58,0,5.19
25,sin-le-noble,fr,50.361594,3.131128,48.2,93,92,16.11
26,khanskaya,ru,44.67702,39.961599,49.72,62,24,8.43
27,biryukove,ua,47.956306,39.738426,35.19,96,68,8.66
28,karhal,in,27.000278,78.941389,67.18,45,0,2.51
29,bayshore gardens,us,27.425,-82.5905556,82.4,34,1,21.92
30,burstadt,de,49.643611,8.46,42.8,93,90,4.7
31,dauphin,ca,51.15,-100.05,33.8,74,40,12.75
32,aden,ye,12.7794444,45.0366667,79.24,97,44,8.77
33,szczecin,pl,53.439531,14.593891,30.2,92,0,1.12
34,akaszto,hu,46.691667,19.204233,39.2,69,0,4.7
35,broni,it,45.066667,9.266667,53.6,50,40,5.64
36,clervaux,lu,50.0547222,6.0313889,41.0,100,75,10.29
37,barentu,er,15.1138889,37.5927778,67.63,38,0,5.86
38,sapa,ph,5.1544,120.3241,82.35,100,48,12.8
39,vereshchagino,ru,58.078945,54.655697,17.1,83,92,8.77
40,temirtau,kz,50.054444,72.948333,28.4,92,75,8.95
41,soddy-daisy,us,35.2358333,-85.1908333,59.0,62,90,5.82
42,ulma,ro,47.883333,25.3,39.2,69,0,4.47
43,nikolayevskaya,ru,47.613912,41.502298,45.58,92,68,7.99
44,tikamgarh,in,24.745,78.8333,64.39,36,0,2.28
45,san diego,co,10.334271,-73.180045,91.4,46,40,13.87
46,kalmar,se,56.666667,16.366667,28.4,74,20,5.82
47,texistepeque,sv,14.1333333,-89.5,93.2,30,20,4.29
48,nanchong,cn,30.775757,106.102938,49.5,79,12,2.73
49,yizheng,cn,32.269167,119.178889,59.0,77,0,4.47
50,idanre,ng,7.1127,5.1159,72.76,97,44,1.72
51,spanish town,jm,17.9833333,-76.95,86.0,58,20,9.17
52,novocheboksarsk,ru,56.110947,47.47755,24.8,92,40,8.95
53,ahero,ke,-0.1833333,34.9166667,71.6,83,75,6.93
54,yarumal,co,6.890278,-75.670833,64.35,98,56,2.28
55,coaticook,ca,45.133333,-71.8,48.2,26,1,10.29
56,enrile,ph,17.5596,121.6974,65.83,100,56,3.62
57,riorges,fr,46.041786,4.049655,53.6,81,90,8.05
58,pistsovo,ru,57.179039,40.529828,7.69,67,0,6.87
59,mbarara,ug,-0.6583333,30.6758333,57.46,92,12,2.73
60,peski,ru,51.2531,42.4693,34.87,93,92,9.66
61,wohlen,ch,46.972336,7.358493,42.8,93,75,2.24
62,edea,cm,3.8,10.1333333,80.6,94,40,2.24
63,kadambur,in,8.983333,77.866667,73.62,96,88,3.62
64,santo angelo,br,-28.3,-54.266667,72.67,89,92,4.29
65,kozloduj,bg,43.7833333,23.7333333,39.2,90,0,9.17
66,anjo,jp,34.95,137.083333,51.8,71,20,4.7
67,omurtag,bg,43.1,26.4166667,41.0,100,0,1.12
68,tuckahoe,us,37.59,-77.5566667,46.4,81,90,6.93
69,managpi,ph,13.3108,121.204,68.53,100,24,1.83
70,neiba,do,18.4666667,-71.4166667,87.8,48,40,19.46
71,novaya lyalya,ru,59.05503,60.598989,10.66,59,48,4.52
72,spermezeu,ro,47.3,24.15,39.2,80,20,5.82
73,nueva imperial,cl,-38.733333,-72.95,61.69,80,12,4.52
74,lahstedt,de,52.25,10.216667,46.4,82,75,9.17
75,toccoa,us,34.5772222,-83.3325,55.4,66,90,3.06
76,pudem,ru,58.304399,52.167539,17.14,83,92,9.22
77,necsesti,ro,44.25,25.15,29.83,89,0,8.43
78,tiszanana,hu,47.566667,20.533333,42.8,81,0,4.7
79,dzhalka,ru,43.318605,45.987872,41.85,83,24,1.61
80,gargzdai,lt,55.7127778,21.4033333,23.0,62,0,8.05
81,bilkha,in,21.433333,70.6,69.39,51,0,6.87
82,narok,ke,-1.0833333,35.8666667,56.7,90,12,5.41
83,hard,at,47.483056,9.683056,44.6,87,90,11.41
